legacy_id,name,building,capacity,room_type,department_id
4,03/2,3,28,1,24
5,04,3,16,2,24
6,11,3,18,2,24
7,23,3,16,1,24
8,24,3,16,1,24
9,28,3,21,2,24
10,31,3,30,3,24
11,38,3,38,2,24
12,41,3,30,1,24
13,42,3,13,1,24
14,43,3,30,1,24
15,44,3,20,1,24
16,46,3,17,3,24
17,48,3,16,1,24
18,49,3,16,1,24
19,52,3,18,1,24
20,55,3,21,1,24
21,56,3,56,1,24
22,57,3,54,1,24
23,51,3,15,3,24
24,53,3,15,3,24
25,32,3,48,1,24
26,akt zalı,3,30,1,24
27,iqtisadiyyat,3,25,1,19
29,25,3,20,1,18
32,206,1,36,1,9
33,211,1,34,1,9
44,18,1,32,1,9
45,15,1,30,1,9
58,AA,3,20,1,24
59,AB,3,20,1,24
60,AC,3,20,1,24
61,AD,3,20,1,24
62,AE,3,20,1,24
63,209,2,20,1,20
64,202,2,20,1,20
65,313,2,20,1,20
66,304,2,20,1,20
67,309,2,20,1,20
68,213,2,20,1,20
69,201,2,20,1,20
70,208,2,20,1,20
71,307,2,20,1,20
72,305,2,20,1,4
73,204,2,20,1,4
75,301,2,20,1,4
76,206,2,20,1,4
77,306,2,20,1,4
78,402,2,20,1,20
79,403,2,20,1,20
80,403,2,20,1,20
81,403,2,20,1,20
82,404,2,20,1,20
83,405,2,20,1,20
84,406,2,20,1,20
85,407,2,20,1,20
86,406,2,20,1,20
87,407,2,20,1,20
88,408,2,20,1,20
89,409,2,20,1,20
91,411,2,20,1,20
92,417,2,20,1,20
93,401,2,20,1,20
94,501,2,20,1,20
95,503,2,20,1,20
96,414,2,20,1,20
97,412,2,20,1,20
115,207,2,20,1,20
116,311,2,20,1,20
117,504,2,20,1,20
118,303,2,20,1,20
119,21,3,20,4,18
120,22,3,20,4,18
121,203,2,20,1,20
122,310,2,20,1,20
123,302,2,20,1,20
124,308,2,20,1,20
126,35,3,20,1,18
127,207,1,30,1,9
128,107,1,20,1,35
129,410,2,20,1,11
131,210,2,25,1,20
133,26,3,25,1,26
136,415,2,30,1,20
137,104,1,30,1,9
138,204,1,30,1,9
139,205,1,30,1,9
140,220,1,30,1,9
141,221,1,30,1,9
142,222,1,30,1,9
143,325,1,30,1,9
144,326,1,30,1,9
147,316,1,30,1,9
148,314,1,70,1,9
149,102,1,76,1,9
150,103,1,15,1,9
151,315,1,24,1,9
152,317,1,20,1,9
153,318,1,24,1,9
154,319,1,18,1,9
155,320,1,18,1,9
156,321,1,24,1,9
157,322,1,16,1,9
158,323,1,16,1,9
159,324,1,18,1,9
160,Akt zal,1,80,1,9
161,314,1,70,1,9
162,102,1,76,1,9
163,33,3,20,1,24
164,315,2,20,1,19
165,210,1,20,1,18
166,37,3,5,1,24
167,312,2,30,1,19
168,307,1,30,1,9
169,316,2,30,1,19
170,205,2,20,1,19
171,İdman zalı,3,50,2,24
172,Konfrans zalı,1,50,1,9
173,317,2,20,1,19
174,-101,2,25,1,19
175,-103,2,25,1,19
176,-103,2,30,1,19
177,211,2,20,1,19
178,212,2,20,1,19
179,314,2,20,1,19
180,kitabxana,2,30,1,19
181,-104,2,20,1,19
182,302,1,30,1,9
183,303,1,30,1,9
184,304,1,30,1,9
185,309,1,11,1,9
186,310,1,20,1,9
187,34,3,15,1,24
188,308,1,15,1,9
189,203,1,15,1,9
190,Art Studio,1,27,4,18
191,Oxu zalı,1,25,1,18
195,11,5,20,1,9
196,15,5,20,1,9
197,01,5,16,1,9
198,02,5,18,1,9
199,06,5,18,1,9
200,07,5,40,1,9
201,08,5,20,1,9
202,09,5,36,1,9
203,10,5,14,1,9
204,11,5,32,1,9
205,12,5,32,1,9
206,13,5,20,2,9
207,14,5,38,1,9
208,15,5,26,1,9
209,36,3,20,1,24
210,17,1,20,1,18
211,-106,3,25,1,24
212,Auditoriya 1,3,50,1,24
213,Auditoriya 4,3,50,1,24
214,Laboratoriya 2,3,50,2,24
215,Laboratoriya 3,3,50,2,24
216,11,6,0,1,0
217,12,6,0,1,0
218,13,6,0,1,0
219,14,6,0,1,0
220,15,6,0,1,0
221,21,6,0,1,0
222,22,6,0,1,0
223,23,6,0,1,0
224,24,6,0,1,0
225,25,6,0,1,0
226,31,6,0,1,0
227,32,6,0,1,0
228,33,6,0,1,0
229,34,6,0,1,0
230,35,6,0,1,0
231,36,6,0,1,0
232,37,6,0,1,0
233,38,6,0,1,0
234,39,6,0,1,0
235,40,6,0,1,0
236,41,6,0,1,0
237,42,6,0,1,0
238,43,6,0,1,0
239,44,6,0,1,0
240,45,6,0,1,0
241,46,6,0,1,0
242,47,6,0,1,0
243,48,6,0,1,0
244,49,6,0,1,0
245,50,6,0,1,0
246,51,6,0,1,0
247,52,6,0,1,0
248,53,6,0,1,0
249,54,6,0,1,0
250,55,6,0,1,0
251,56,6,0,1,0
252,57,6,0,1,0
253,58,6,0,1,0
254,59,6,0,1,0
255,60,6,0,1,0
